"RelativePath","FullName","Extension","SizeBytes","SizeMB","SizeGB","LastWrite","Attributes"
".env.example","F:\一人公司\comfyui-production\.env.example",".example","1740","0.002","0","2026/9/4 6:47:36","Archive"
"comfy-api-proxy-main.zip","F:\一人公司\comfyui-production\comfy-api-proxy-main.zip",".zip","302672","0.289","0.0003","2026/9/7 9:24:20","Archive"
"comfy-mcp-main.zip","F:\一人公司\comfyui-production\comfy-mcp-main.zip",".zip","819568","0.782","0.0008","2026/9/7 9:24:26","Archive"
"ComfyUI-0.34.0.zip","F:\一人公司\comfyui-production\ComfyUI-0.34.0.zip",".zip","12613058","12.029","0.0117","2026/9/7 9:15:16","Archive"
"ComfyUI-H3-Motion-Context-0.6.2.zip","F:\一人公司\comfyui-production\ComfyUI-H3-Motion-Context-0.6.2.zip",".zip","110703","0.106","0.0001","2026/9/7 9:15:44","Archive"
"comfyui-stderr.log","F:\一人公司\comfyui-production\comfyui-stderr.log",".log","8313","0.008","0","2026/9/3 23:29:01","Archive"
"comfyui-stdout.log","F:\一人公司\comfyui-production\comfyui-stdout.log",".log","1144","0.001","0","2026/9/3 23:29:01","Archive"
"comfyui.snapshot.json","F:\一人公司\comfyui-production\comfyui.snapshot.json",".json","1604","0.002","0","2026/9/4 5:34:31","Archive"
"ComfyUI_MiniMax_H3_Extender-main.zip","F:\一人公司\comfyui-production\ComfyUI_MiniMax_H3_Extender-main.zip",".zip","246963","0.236","0.0002","2026/9/7 9:15:37","Archive"
"custom_nodes.lock.json","F:\一人公司\comfyui-production\custom_nodes.lock.json",".json","2704","0.003","0","2026/9/4 0:36:16","Archive"
"HANDOFF_LATEST.md","F:\一人公司\comfyui-production\HANDOFF_LATEST.md",".md","3204","0.003","0","2026/9/4 5:30:43","Archive"
"minimax_h3.download-state.json","F:\一人公司\comfyui-production\minimax_h3.download-state.json",".json","3628","0.003","0","2026/9/4 2:27:52","Archive"
"minimax_h3_audio_vae_fp32 (1).safetensors","F:\一人公司\comfyui-production\minimax_h3_audio_vae_fp32 (1).safetensors",".safetensors","605254808","577.216","0.5637","2026/9/7 9:25:08","Archive"
"minimax_h3_audio_vae_fp32.safetensors","F:\一人公司\comfyui-production\minimax_h3_audio_vae_fp32.safetensors",".safetensors","605254808","577.216","0.5637","2026/9/7 9:24:03","Archive"
"minimax_h3_ref2va_pruned_int8_convrot.safetensors","F:\一人公司\comfyui-production\minimax_h3_ref2va_pruned_int8_convrot.safetensors",".safetensors","20970379616","19998.912","19.5302","2026/9/7 9:31:07","Archive"
"minimax_h3_video_vae_fp16.safetensors","F:\一人公司\comfyui-production\minimax_h3_video_vae_fp16.safetensors",".safetensors","5207808496","4966.553","4.8501","2026/9/7 9:24:32","Archive"
"models.manifest.json","F:\一人公司\comfyui-production\models.manifest.json",".json","3741","0.004","0","2026/9/4 0:36:16","Archive"
"qwen3vl_32b_minimax_h3_nvfp4_awq.safetensors","F:\一人公司\comfyui-production\qwen3vl_32b_minimax_h3_nvfp4_awq.safetensors",".safetensors","15687142551","14960.425","14.6098","2026/9/7 9:28:44","Archive"
"README_COMFYUI_PRODUCTION.md","F:\一人公司\comfyui-production\README_COMFYUI_PRODUCTION.md",".md","5246","0.005","0","2026/9/4 5:29:00","Archive"
"requirements-lock.txt","F:\一人公司\comfyui-production\requirements-lock.txt",".txt","1851","0.002","0","2026/9/4 0:36:51","Archive"
"video_minimax_h3_i2v.json","F:\一人公司\comfyui-production\video_minimax_h3_i2v.json",".json","73587","0.07","0.0001","2026/9/7 9:17:46","Archive"
"video_minimax_h3_r2v.json","F:\一人公司\comfyui-production\video_minimax_h3_r2v.json",".json","46856","0.045","0","2026/9/7 9:17:01","Archive"
"video_minimax_h3_t2v.json","F:\一人公司\comfyui-production\video_minimax_h3_t2v.json",".json","70073","0.067","0.0001","2026/9/7 9:18:10","Archive"
".codex\ACTIVE_ITERATION.json","F:\一人公司\comfyui-production\.codex\ACTIVE_ITERATION.json",".json","1438","0.001","0","2026/9/7 3:43:20","Archive"
".codex\ALLOWED_SYMBOLS_CANDIDATE.md","F:\一人公司\comfyui-production\.codex\ALLOWED_SYMBOLS_CANDIDATE.md",".md","182","0","0","2026/9/7 3:43:20","Archive"
".codex\change-baseline.json","F:\一人公司\comfyui-production\.codex\change-baseline.json",".json","82447","0.079","0.0001","2026/9/7 3:43:20","Archive"
".codex\CONTEXT_LOAD_RECEIPT.json","F:\一人公司\comfyui-production\.codex\CONTEXT_LOAD_RECEIPT.json",".json","2823","0.003","0","2026/9/7 3:06:31","Archive"
".codex\DELIVERY_CLAIM_REVIEW.md","F:\一人公司\comfyui-production\.codex\DELIVERY_CLAIM_REVIEW.md",".md","2524","0.002","0","2026/9/5 3:25:51","Archive"
".codex\DIAGNOSTIC_LOCK.md","F:\一人公司\comfyui-production\.codex\DIAGNOSTIC_LOCK.md",".md","1550","0.001","0","2026/9/4 4:11:36","Archive"
".codex\FINISH_BLOCKED.md","F:\一人公司\comfyui-production\.codex\FINISH_BLOCKED.md",".md","968","0.001","0","2026/9/4 4:45:55","Archive"
".codex\HANDOFF_CANDIDATE.md","F:\一人公司\comfyui-production\.codex\HANDOFF_CANDIDATE.md",".md","3075","0.003","0","2026/9/4 6:05:25","Archive"
".codex\INTENT_ACCEPTANCE.md","F:\一人公司\comfyui-production\.codex\INTENT_ACCEPTANCE.md",".md","3846","0.004","0","2026/9/7 3:43:20","Archive"
".codex\ITERATION_LOG.md","F:\一人公司\comfyui-production\.codex\ITERATION_LOG.md",".md","16207","0.015","0","2026/9/4 6:05:25","Archive"
".codex\ITERATION_METRICS.jsonl","F:\一人公司\comfyui-production\.codex\ITERATION_METRICS.jsonl",".jsonl","905","0.001","0","2026/9/5 3:25:51","Archive"
