"Folder","FullPath","FileCount","SizeGB","SizeMB"
"staging","F:\一人公司\comfyui-production\staging","1112","0.055","56.8"
"runtime","F:\一人公司\comfyui-production\runtime","24","0.027","27.4"
"artifacts","F:\一人公司\comfyui-production\artifacts","12","0.025","25.8"
"scripts","F:\一人公司\comfyui-production\scripts","20","0","0.1"
"src","F:\一人公司\comfyui-production\src","20","0","0.2"
"_storage_audit","F:\一人公司\comfyui-production\_storage_audit","3","0","0.3"
"workflows","F:\一人公司\comfyui-production\workflows","8","0","0"
"tests","F:\一人公司\comfyui-production\tests","14","0","0.2"
"sample_assets","F:\一人公司\comfyui-production\sample_assets","11","0","0.4"
"handoff","F:\一人公司\comfyui-production\handoff","5","0","0"
"docs","F:\一人公司\comfyui-production\docs","22","0","0.1"
"backups","F:\一人公司\comfyui-production\backups","13","0","0"
".codex","F:\一人公司\comfyui-production\.codex","95","0","0.4"
"reports","F:\一人公司\comfyui-production\reports","7","0","0"
"integration","F:\一人公司\comfyui-production\integration","0","0","0"
