"Parent","Folder","FullPath","FileCount","SizeGB"
"staging","comfyui-v0.34.0","F:\一人公司\comfyui-production\staging\comfyui-v0.34.0","1084","0.054"
"runtime","artifacts","F:\一人公司\comfyui-production\runtime\artifacts","14","0.027"
"artifacts","upscaled_candidates","F:\一人公司\comfyui-production\artifacts\upscaled_candidates","5","0.015"
"artifacts","wan2.1_i2v_suwanqing_5s","F:\一人公司\comfyui-production\artifacts\wan2.1_i2v_suwanqing_5s","7","0.01"
"staging","h3-extender-88cc10d4","F:\一人公司\comfyui-production\staging\h3-extender-88cc10d4","27","0.001"
"sample_assets","normalized","F:\一人公司\comfyui-production\sample_assets\normalized","2","0"
"sample_assets","three_images","F:\一人公司\comfyui-production\sample_assets\three_images","1","0"
"sample_assets","subtitles","F:\一人公司\comfyui-production\sample_assets\subtitles","2","0"
"sample_assets","two_images_one_video","F:\一人公司\comfyui-production\sample_assets\two_images_one_video","1","0"
"tests","__pycache__","F:\一人公司\comfyui-production\tests\__pycache__","7","0"
"workflows","specs","F:\一人公司\comfyui-production\workflows\specs","7","0"
"scripts","__pycache__","F:\一人公司\comfyui-production\scripts\__pycache__","3","0"
"src","comfyui_production","F:\一人公司\comfyui-production\src\comfyui_production","20","0"
"artifacts","h3-extender","F:\一人公司\comfyui-production\artifacts\h3-extender","0","0"
"backups","audit-20260904-054620","F:\一人公司\comfyui-production\backups\audit-20260904-054620","4","0"
".codex","verification-receipts","F:\一人公司\comfyui-production\.codex\verification-receipts","24","0"
".codex","active-iteration-history","F:\一人公司\comfyui-production\.codex\active-iteration-history","9","0"
".codex","tasks","F:\一人公司\comfyui-production\.codex\tasks","38","0"
"sample_assets","audio","F:\一人公司\comfyui-production\sample_assets\audio","1","0"
"sample_assets","manifests","F:\一人公司\comfyui-production\sample_assets\manifests","2","0"
"runtime","verification","F:\一人公司\comfyui-production\runtime\verification","1","0"
"backups","h3-upgrade-20260907-034505","F:\一人公司\comfyui-production\backups\h3-upgrade-20260907-034505","9","0"
"reports","h3","F:\一人公司\comfyui-production\reports\h3","7","0"
