"SizeGB","SizeMB","Extension","FullName"
"19.53","19998.9",".safetensors","F:\一人公司\comfyui-production\minimax_h3_ref2va_pruned_int8_convrot.safetensors"
"14.61","14960.4",".safetensors","F:\一人公司\comfyui-production\qwen3vl_32b_minimax_h3_nvfp4_awq.safetensors"
"4.85","4966.6",".safetensors","F:\一人公司\comfyui-production\minimax_h3_video_vae_fp16.safetensors"
"0.564","577.2",".safetensors","F:\一人公司\comfyui-production\minimax_h3_audio_vae_fp32 (1).safetensors"
"0.564","577.2",".safetensors","F:\一人公司\comfyui-production\minimax_h3_audio_vae_fp32.safetensors"
"0.014","14.7",".mp4","F:\一人公司\comfyui-production\artifacts\upscaled_candidates\suwanqing45_subtitled_1080x1920_candidate.mp4"
"0.012","12",".zip","F:\一人公司\comfyui-production\ComfyUI-0.34.0.zip"
"0.012","12",".zip","F:\一人公司\comfyui-production\staging\comfyui-v0.34.0\ComfyUI-v0.34.0.zip"
"0.008","8.7",".json","F:\一人公司\comfyui-production\staging\comfyui-v0.34.0\ComfyUI-0.34.0\comfy\text_encoders\llama_tokenizer\tokenizer.json"
"0.007","7.6",".mp4","F:\一人公司\comfyui-production\runtime\artifacts\local_suwanqing45_5s_20260904\suwanqing45_local_draft_5s.mp4"
"0.007","7.6",".mp4","F:\一人公司\comfyui-production\artifacts\wan2.1_i2v_suwanqing_5s\wanvideo_suwanqing_ref_5s_local_00001.mp4"
"0.006","6.5",".mp4","F:\一人公司\comfyui-production\runtime\artifacts\d14f40680fe241b6a91a2258d5cccaab\wanvideo_suwanqing_ref_5s_local_00002.mp4"
"0.006","6.4",".json","F:\一人公司\comfyui-production\staging\comfyui-v0.34.0\ComfyUI-0.34.0\comfy\text_encoders\qwen35_tokenizer\vocab.json"
"0.004","4.4",".mp4","F:\一人公司\comfyui-production\runtime\artifacts\subtitle_lock_preview_cpu.mp4"
"0.003","3.2",".txt","F:\一人公司\comfyui-production\staging\comfyui-v0.34.0\ComfyUI-0.34.0\comfy\text_encoders\qwen35_tokenizer\merges.txt"
"0.003","2.6",".json","F:\一人公司\comfyui-production\staging\comfyui-v0.34.0\ComfyUI-0.34.0\comfy\text_encoders\qwen25_tokenizer\vocab.json"
"0.003","2.6",".mp4","F:\一人公司\comfyui-production\runtime\artifacts\subtitle_lock_preview.mp4"
"0.003","2.6",".mp4","F:\一人公司\comfyui-production\runtime\artifacts\subtitle_lock_preview_clean.mp4"
"0.002","2.3",".json","F:\一人公司\comfyui-production\staging\comfyui-v0.34.0\ComfyUI-0.34.0\comfy\text_encoders\t5_tokenizer\tokenizer.json"
"0.002","1.6",".txt","F:\一人公司\comfyui-production\staging\comfyui-v0.34.0\ComfyUI-0.34.0\comfy\text_encoders\qwen25_tokenizer\merges.txt"
"0.001","1",".json","F:\一人公司\comfyui-production\staging\comfyui-v0.34.0\ComfyUI-0.34.0\comfy\sd1_tokenizer\vocab.json"
"0.001","0.8",".zip","F:\一人公司\comfyui-production\comfy-mcp-main.zip"
"0.001","0.8",".png","F:\一人公司\comfyui-production\artifacts\wan2.1_i2v_suwanqing_5s\frame_2_50.png"
"0.001","0.7",".png","F:\一人公司\comfyui-production\runtime\artifacts\subtitle_lock_preview_cpu_mid.png"
"0.001","0.7",".png","F:\一人公司\comfyui-production\artifacts\wan2.1_i2v_suwanqing_5s\frame_last.png"
"0.001","0.7",".png","F:\一人公司\comfyui-production\runtime\artifacts\local_suwanqing45_5s_20260904\frame_last.png"
"0.001","0.7",".png","F:\一人公司\comfyui-production\runtime\artifacts\subtitle_lock_preview_mid.png"
"0.001","0.6",".png","F:\一人公司\comfyui-production\artifacts\wan2.1_i2v_suwanqing_5s\frame_000.png"
"0.001","0.6",".png","F:\一人公司\comfyui-production\runtime\artifacts\local_suwanqing45_5s_20260904\frame_first.png"
"0.001","0.5",".png","F:\一人公司\comfyui-production\artifacts\wan2.1_i2v_suwanqing_5s\wanvideo_suwanqing_ref_5s_local_00001.png"
"0.001","0.5",".png","F:\一人公司\comfyui-production\runtime\artifacts\local_suwanqing45_5s_20260904\suwanqing45_local_draft_5s_preview.png"
"0","0.5",".txt","F:\一人公司\comfyui-production\staging\comfyui-v0.34.0\ComfyUI-0.34.0\comfy\sd1_tokenizer\merges.txt"
"0","0.5",".model","F:\一人公司\comfyui-production\staging\comfyui-v0.34.0\ComfyUI-0.34.0\comfy\text_encoders\t5_pile_tokenizer\tokenizer.model"
"0","0.3",".json","F:\一人公司\comfyui-production\staging\comfyui-v0.34.0\ComfyUI-0.34.0\comfy\text_encoders\ace_lyrics_tokenizer\vocab.json"
"0","0.3",".txt","F:\一人公司\comfyui-production\staging\comfyui-v0.34.0\ComfyUI-0.34.0\comfy\text_encoders\hydit_clip_tokenizer\vocab.txt"
"0","0.3",".zip","F:\一人公司\comfyui-production\comfy-api-proxy-main.zip"
"0","0.3",".jpg","F:\一人公司\comfyui-production\artifacts\upscaled_candidates\suwanqing45_subtitled_1080x1920_candidate.qa_frames\frame_last.jpg"
"0","0.3",".jpg","F:\一人公司\comfyui-production\artifacts\upscaled_candidates\suwanqing45_subtitled_1080x1920_candidate.qa_frames\frame_mid.jpg"
"0","0.3",".jpg","F:\一人公司\comfyui-production\artifacts\upscaled_candidates\suwanqing45_subtitled_1080x1920_candidate.qa_frames\frame_first.jpg"
"0","0.3",".mp4","F:\一人公司\comfyui-production\sample_assets\normalized\suwanqing45_neutral_control.mp4"
"0","0.2",".zip","F:\一人公司\comfyui-production\staging\h3-extender-88cc10d4.zip"
"0","0.2",".zip","F:\一人公司\comfyui-production\ComfyUI_MiniMax_H3_Extender-main.zip"
"0","0.2",".js","F:\一人公司\comfyui-production\staging\h3-extender-88cc10d4\ComfyUI_MiniMax_H3_Extender-88cc10d4db3d51f88e6a3fe097f5a750edf05ab3\web\extender.js"
"0","0.2",".py","F:\一人公司\comfyui-production\staging\h3-extender-88cc10d4\ComfyUI_MiniMax_H3_Extender-88cc10d4db3d51f88e6a3fe097f5a750edf05ab3\extender.py"
"0","0.2",".yaml","F:\一人公司\comfyui-production\staging\comfyui-v0.34.0\ComfyUI-0.34.0\openapi.yaml"
"0","0.2",".py","F:\一人公司\comfyui-production\staging\comfyui-v0.34.0\ComfyUI-0.34.0\comfy_api_nodes\apis\__init__.py"
"0","0.2",".png","F:\一人公司\comfyui-production\sample_assets\normalized\suwanqing45_primary_portrait.png"
"0","0.2",".py","F:\一人公司\comfyui-production\staging\h3-extender-88cc10d4\ComfyUI_MiniMax_H3_Extender-88cc10d4db3d51f88e6a3fe097f5a750edf05ab3\motion_context_disk.py"
"0","0.2",".py","F:\一人公司\comfyui-production\staging\comfyui-v0.34.0\ComfyUI-0.34.0\comfy_api_nodes\nodes_bytedance.py"
"0","0.1",".py","F:\一人公司\comfyui-production\staging\comfyui-v0.34.0\ComfyUI-0.34.0\comfy_extras\nodes_mesh_postprocess.py"
"0","0.1",".py","F:\一人公司\comfyui-production\staging\comfyui-v0.34.0\ComfyUI-0.34.0\comfy\sd.py"
"0","0.1",".json","F:\一人公司\comfyui-production\staging\comfyui-v0.34.0\ComfyUI-0.34.0\blueprints\Depth to Video (ltx 2.0).json"
"0","0.1",".py","F:\一人公司\comfyui-production\staging\comfyui-v0.34.0\ComfyUI-0.34.0\comfy\model_base.py"
"0","0.1",".jpg","F:\一人公司\comfyui-production\runtime\artifacts\d14f40680fe241b6a91a2258d5cccaab\qa_frames\frame_01.jpg"
"0","0.1",".py","F:\一人公司\comfyui-production\staging\comfyui-v0.34.0\ComfyUI-0.34.0\comfy_api_nodes\nodes_wan.py"
"0","0.1",".json","F:\一人公司\comfyui-production\staging\comfyui-v0.34.0\ComfyUI-0.34.0\blueprints\Character Replacement (SCAIL-2 Extend).json"
"0","0.1",".py","F:\一人公司\comfyui-production\staging\comfyui-v0.34.0\ComfyUI-0.34.0\comfy_api_nodes\nodes_kling.py"
"0","0.1",".json","F:\一人公司\comfyui-production\staging\comfyui-v0.34.0\ComfyUI-0.34.0\blueprints\Text to Video (LTX-2.3).json"
"0","0.1",".json","F:\一人公司\comfyui-production\staging\comfyui-v0.34.0\ComfyUI-0.34.0\blueprints\Video Inpaint (VOID).json"
"0","0.1",".json","F:\一人公司\comfyui-production\staging\comfyui-v0.34.0\ComfyUI-0.34.0\blueprints\Image to Video (LTX-2.3).json"
"0","0.1",".zip","F:\一人公司\comfyui-production\ComfyUI-H3-Motion-Context-0.6.2.zip"
"0","0.1",".json","F:\一人公司\comfyui-production\staging\comfyui-v0.34.0\ComfyUI-0.34.0\blueprints\Video Inpainting (Wan2.1 VACE).json"
"0","0.1",".py","F:\一人公司\comfyui-production\staging\comfyui-v0.34.0\ComfyUI-0.34.0\nodes.py"
"0","0.1",".json","F:\一人公司\comfyui-production\staging\comfyui-v0.34.0\ComfyUI-0.34.0\blueprints\Character Replacement (SCAIL-2 Base).json"
"0","0.1",".json","F:\一人公司\comfyui-production\staging\comfyui-v0.34.0\ComfyUI-0.34.0\blueprints\Pose to Video (LTX 2.0).json"
"0","0.1",".py","F:\一人公司\comfyui-production\staging\comfyui-v0.34.0\ComfyUI-0.34.0\comfy\model_patcher.py"
"0","0.1",".json","F:\一人公司\comfyui-production\staging\comfyui-v0.34.0\ComfyUI-0.34.0\blueprints\Video Edit (Bernini-R).json"
"0","0.1",".py","F:\一人公司\comfyui-production\staging\comfyui-v0.34.0\ComfyUI-0.34.0\comfy_extras\nodes_gaussian_splat.py"
"0","0.1",".py","F:\一人公司\comfyui-production\staging\comfyui-v0.34.0\ComfyUI-0.34.0\comfy\ldm\sam3\tracker.py"
"0","0.1",".py","F:\一人公司\comfyui-production\staging\comfyui-v0.34.0\ComfyUI-0.34.0\comfy_api\latest\_io.py"
"0","0.1",".json","F:\一人公司\comfyui-production\staging\comfyui-v0.34.0\ComfyUI-0.34.0\blueprints\Canny to Video (LTX 2.0).json"
"0","0.1",".pyc","F:\一人公司\comfyui-production\staging\comfyui-v0.34.0\ComfyUI-0.34.0\comfy\__pycache__\ops.cpython-312.pyc"
"0","0.1",".json","F:\一人公司\comfyui-production\staging\comfyui-v0.34.0\ComfyUI-0.34.0\blueprints\Image Edit (Bernini-R).json"
"0","0.1",".json","F:\一人公司\comfyui-production\staging\comfyui-v0.34.0\ComfyUI-0.34.0\blueprints\First-Last-Frame to Video (LTX-2.3).json"
"0","0.1",".json","F:\一人公司\comfyui-production\staging\comfyui-v0.34.0\ComfyUI-0.34.0\blueprints\First-Last-Frame to Video.json"
"0","0.1",".pyc","F:\一人公司\comfyui-production\staging\comfyui-v0.34.0\ComfyUI-0.34.0\comfy\__pycache__\model_management.cpython-312.pyc"
"0","0.1",".py","F:\一人公司\comfyui-production\staging\comfyui-v0.34.0\ComfyUI-0.34.0\comfy\k_diffusion\sampling.py"
"0","0.1",".py","F:\一人公司\comfyui-production\staging\comfyui-v0.34.0\ComfyUI-0.34.0\comfy\text_encoders\gemma4.py"
"0","0.1",".py","F:\一人公司\comfyui-production\staging\comfyui-v0.34.0\ComfyUI-0.34.0\comfy\model_detection.py"
"0","0.1",".py","F:\一人公司\comfyui-production\staging\comfyui-v0.34.0\ComfyUI-0.34.0\comfy_extras\nodes_wan.py"
"0","0.1",".jpg","F:\一人公司\comfyui-production\runtime\artifacts\d14f40680fe241b6a91a2258d5cccaab\qa_frames\frame_03.jpg"
"0","0.1",".py","F:\一人公司\comfyui-production\staging\comfyui-v0.34.0\ComfyUI-0.34.0\comfy\supported_models.py"
"0","0.1",".jpg","F:\一人公司\comfyui-production\runtime\artifacts\d14f40680fe241b6a91a2258d5cccaab\qa_frames\frame_02.jpg"
"0","0.1",".py","F:\一人公司\comfyui-production\staging\comfyui-v0.34.0\ComfyUI-0.34.0\comfy\ldm\wan\model.py"
"0","0.1",".json","F:\一人公司\comfyui-production\.codex\change-baseline.json"
"0","0.1",".json","F:\一人公司\comfyui-production\staging\comfyui-v0.34.0\ComfyUI-0.34.0\blueprints\Audio Generation (Stable Audio 3 Medium Base).json"
"0","0.1",".json","F:\一人公司\comfyui-production\staging\comfyui-v0.34.0\ComfyUI-0.34.0\blueprints\Audio Generation (Stable Audio 3 Medium).json"
"0","0.1",".py","F:\一人公司\comfyui-production\staging\comfyui-v0.34.0\ComfyUI-0.34.0\comfy_extras\nodes_dataset.py"
"0","0.1",".py","F:\一人公司\comfyui-production\staging\comfyui-v0.34.0\ComfyUI-0.34.0\comfy\ops.py"
"0","0.1",".json","F:\一人公司\comfyui-production\staging\comfyui-v0.34.0\ComfyUI-0.34.0\tests-unit\comfy_extras_test\compositor_blend_golden.json"
"0","0.1",".pyc","F:\一人公司\comfyui-production\staging\comfyui-v0.34.0\ComfyUI-0.34.0\comfy\__pycache__\utils.cpython-312.pyc"
"0","0.1",".py","F:\一人公司\comfyui-production\staging\h3-extender-88cc10d4\ComfyUI_MiniMax_H3_Extender-88cc10d4db3d51f88e6a3fe097f5a750edf05ab3\fl2va_engine.py"
"0","0.1",".json","F:\一人公司\comfyui-production\staging\comfyui-v0.34.0\ComfyUI-0.34.0\blueprints\Crop Images 3x3.json"
