"Extension","Count","SizeGB","SizeMB"
".safetensors","5","40.118","41080.3"
".mp4","8","0.045","46.3"
".json","217","0.025","26"
".zip","8","0.025","25.7"
".py","828","0.012","11.9"
".png","14","0.006","6.2"
".txt","12","0.005","5.6"
".pyc","43","0.001","0.8"
".jpg","6","0.001","1.1"
".yml","32","0","0.1"
".sh","1","0","0"
".ini","2","0","0"
".toml","2","0","0"
"(no extension)","30","0","0"
".model","1","0","0.5"
".pyi","3","0","0"
".js","4","0","0.3"
".mako","1","0","0"
".frag","14","0","0"
".csv","1","0","0"
".jsonl","1","0","0"
".bat","13","0","0"
".md","83","0","0.3"
".example","3","0","0"
".log","24","0","0"
".pid","2","0","0"
".gitattributes","1","0","0"
".gitignore","1","0","0"
".yaml","16","0","0.3"
".ass","2","0","0"
".ps1","9","0","0"
