"RelativePath","FullName","Extension","SizeMB"
"artifacts\upscaled_candidates\suwanqing45_subtitled_1080x1920_candidate.mp4","F:\一人公司\comfyui-production\artifacts\upscaled_candidates\suwanqing45_subtitled_1080x1920_candidate.mp4",".mp4","14.74"
"artifacts\upscaled_candidates\suwanqing45_subtitled_1080x1920_candidate.qa_frames\frame_first.jpg","F:\一人公司\comfyui-production\artifacts\upscaled_candidates\suwanqing45_subtitled_1080x1920_candidate.qa_frames\frame_first.jpg",".jpg","0.27"
"artifacts\upscaled_candidates\suwanqing45_subtitled_1080x1920_candidate.qa_frames\frame_last.jpg","F:\一人公司\comfyui-production\artifacts\upscaled_candidates\suwanqing45_subtitled_1080x1920_candidate.qa_frames\frame_last.jpg",".jpg","0.29"
"artifacts\upscaled_candidates\suwanqing45_subtitled_1080x1920_candidate.qa_frames\frame_mid.jpg","F:\一人公司\comfyui-production\artifacts\upscaled_candidates\suwanqing45_subtitled_1080x1920_candidate.qa_frames\frame_mid.jpg",".jpg","0.27"
"artifacts\wan2.1_i2v_suwanqing_5s\frame_000.png","F:\一人公司\comfyui-production\artifacts\wan2.1_i2v_suwanqing_5s\frame_000.png",".png","0.6"
"artifacts\wan2.1_i2v_suwanqing_5s\frame_2_50.png","F:\一人公司\comfyui-production\artifacts\wan2.1_i2v_suwanqing_5s\frame_2_50.png",".png","0.76"
"artifacts\wan2.1_i2v_suwanqing_5s\frame_last.png","F:\一人公司\comfyui-production\artifacts\wan2.1_i2v_suwanqing_5s\frame_last.png",".png","0.71"
"artifacts\wan2.1_i2v_suwanqing_5s\wanvideo_suwanqing_ref_5s_local_00001.mp4","F:\一人公司\comfyui-production\artifacts\wan2.1_i2v_suwanqing_5s\wanvideo_suwanqing_ref_5s_local_00001.mp4",".mp4","7.59"
"artifacts\wan2.1_i2v_suwanqing_5s\wanvideo_suwanqing_ref_5s_local_00001.png","F:\一人公司\comfyui-production\artifacts\wan2.1_i2v_suwanqing_5s\wanvideo_suwanqing_ref_5s_local_00001.png",".png","0.54"
"runtime\artifacts\subtitle_lock_preview.mp4","F:\一人公司\comfyui-production\runtime\artifacts\subtitle_lock_preview.mp4",".mp4","2.61"
"runtime\artifacts\subtitle_lock_preview_clean.mp4","F:\一人公司\comfyui-production\runtime\artifacts\subtitle_lock_preview_clean.mp4",".mp4","2.61"
"runtime\artifacts\subtitle_lock_preview_cpu.mp4","F:\一人公司\comfyui-production\runtime\artifacts\subtitle_lock_preview_cpu.mp4",".mp4","4.44"
"runtime\artifacts\subtitle_lock_preview_cpu_mid.png","F:\一人公司\comfyui-production\runtime\artifacts\subtitle_lock_preview_cpu_mid.png",".png","0.74"
"runtime\artifacts\subtitle_lock_preview_mid.png","F:\一人公司\comfyui-production\runtime\artifacts\subtitle_lock_preview_mid.png",".png","0.7"
"runtime\artifacts\d14f40680fe241b6a91a2258d5cccaab\wanvideo_suwanqing_ref_5s_local_00002.mp4","F:\一人公司\comfyui-production\runtime\artifacts\d14f40680fe241b6a91a2258d5cccaab\wanvideo_suwanqing_ref_5s_local_00002.mp4",".mp4","6.47"
"runtime\artifacts\d14f40680fe241b6a91a2258d5cccaab\qa_frames\frame_01.jpg","F:\一人公司\comfyui-production\runtime\artifacts\d14f40680fe241b6a91a2258d5cccaab\qa_frames\frame_01.jpg",".jpg","0.11"
"runtime\artifacts\d14f40680fe241b6a91a2258d5cccaab\qa_frames\frame_02.jpg","F:\一人公司\comfyui-production\runtime\artifacts\d14f40680fe241b6a91a2258d5cccaab\qa_frames\frame_02.jpg",".jpg","0.08"
"runtime\artifacts\d14f40680fe241b6a91a2258d5cccaab\qa_frames\frame_03.jpg","F:\一人公司\comfyui-production\runtime\artifacts\d14f40680fe241b6a91a2258d5cccaab\qa_frames\frame_03.jpg",".jpg","0.08"
"runtime\artifacts\local_suwanqing45_5s_20260904\frame_first.png","F:\一人公司\comfyui-production\runtime\artifacts\local_suwanqing45_5s_20260904\frame_first.png",".png","0.6"
"runtime\artifacts\local_suwanqing45_5s_20260904\frame_last.png","F:\一人公司\comfyui-production\runtime\artifacts\local_suwanqing45_5s_20260904\frame_last.png",".png","0.71"
"runtime\artifacts\local_suwanqing45_5s_20260904\suwanqing45_local_draft_5s.mp4","F:\一人公司\comfyui-production\runtime\artifacts\local_suwanqing45_5s_20260904\suwanqing45_local_draft_5s.mp4",".mp4","7.59"
"runtime\artifacts\local_suwanqing45_5s_20260904\suwanqing45_local_draft_5s_preview.png","F:\一人公司\comfyui-production\runtime\artifacts\local_suwanqing45_5s_20260904\suwanqing45_local_draft_5s_preview.png",".png","0.54"
"sample_assets\normalized\suwanqing45_neutral_control.mp4","F:\一人公司\comfyui-production\sample_assets\normalized\suwanqing45_neutral_control.mp4",".mp4","0.25"
"sample_assets\normalized\suwanqing45_primary_portrait.png","F:\一人公司\comfyui-production\sample_assets\normalized\suwanqing45_primary_portrait.png",".png","0.19"
"staging\comfyui-v0.34.0\ComfyUI-0.34.0\comfy\comfy_types\examples\input_options.png","F:\一人公司\comfyui-production\staging\comfyui-v0.34.0\ComfyUI-0.34.0\comfy\comfy_types\examples\input_options.png",".png","0.02"
"staging\comfyui-v0.34.0\ComfyUI-0.34.0\comfy\comfy_types\examples\input_types.png","F:\一人公司\comfyui-production\staging\comfyui-v0.34.0\ComfyUI-0.34.0\comfy\comfy_types\examples\input_types.png",".png","0.02"
