"Name","Extension","SizeMB","LastWriteTime","FullName"
".env.example",".example","0","2026/9/4 6:47:36","F:\一人公司\comfyui-production\.env.example"
"comfy-api-proxy-main.zip",".zip","0.29","2026/9/7 9:24:20","F:\一人公司\comfyui-production\comfy-api-proxy-main.zip"
"comfy-mcp-main.zip",".zip","0.78","2026/9/7 9:24:26","F:\一人公司\comfyui-production\comfy-mcp-main.zip"
"ComfyUI-0.34.0.zip",".zip","12.03","2026/9/7 9:15:16","F:\一人公司\comfyui-production\ComfyUI-0.34.0.zip"
"ComfyUI-H3-Motion-Context-0.6.2.zip",".zip","0.11","2026/9/7 9:15:44","F:\一人公司\comfyui-production\ComfyUI-H3-Motion-Context-0.6.2.zip"
"comfyui-stderr.log",".log","0.01","2026/9/3 23:29:01","F:\一人公司\comfyui-production\comfyui-stderr.log"
"comfyui-stdout.log",".log","0","2026/9/3 23:29:01","F:\一人公司\comfyui-production\comfyui-stdout.log"
"comfyui.snapshot.json",".json","0","2026/9/4 5:34:31","F:\一人公司\comfyui-production\comfyui.snapshot.json"
"ComfyUI_MiniMax_H3_Extender-main.zip",".zip","0.24","2026/9/7 9:15:37","F:\一人公司\comfyui-production\ComfyUI_MiniMax_H3_Extender-main.zip"
"custom_nodes.lock.json",".json","0","2026/9/4 0:36:16","F:\一人公司\comfyui-production\custom_nodes.lock.json"
"HANDOFF_LATEST.md",".md","0","2026/9/4 5:30:43","F:\一人公司\comfyui-production\HANDOFF_LATEST.md"
"minimax_h3.download-state.json",".json","0","2026/9/4 2:27:52","F:\一人公司\comfyui-production\minimax_h3.download-state.json"
"minimax_h3_audio_vae_fp32 (1).safetensors",".safetensors","577.22","2026/9/7 9:25:08","F:\一人公司\comfyui-production\minimax_h3_audio_vae_fp32 (1).safetensors"
"minimax_h3_audio_vae_fp32.safetensors",".safetensors","577.22","2026/9/7 9:24:03","F:\一人公司\comfyui-production\minimax_h3_audio_vae_fp32.safetensors"
"minimax_h3_ref2va_pruned_int8_convrot.safetensors",".safetensors","19998.91","2026/9/7 9:31:07","F:\一人公司\comfyui-production\minimax_h3_ref2va_pruned_int8_convrot.safetensors"
"minimax_h3_video_vae_fp16.safetensors",".safetensors","4966.55","2026/9/7 9:24:32","F:\一人公司\comfyui-production\minimax_h3_video_vae_fp16.safetensors"
"models.manifest.json",".json","0","2026/9/4 0:36:16","F:\一人公司\comfyui-production\models.manifest.json"
"qwen3vl_32b_minimax_h3_nvfp4_awq.safetensors",".safetensors","14960.42","2026/9/7 9:28:44","F:\一人公司\comfyui-production\qwen3vl_32b_minimax_h3_nvfp4_awq.safetensors"
"README_COMFYUI_PRODUCTION.md",".md","0.01","2026/9/4 5:29:00","F:\一人公司\comfyui-production\README_COMFYUI_PRODUCTION.md"
"requirements-lock.txt",".txt","0","2026/9/4 0:36:51","F:\一人公司\comfyui-production\requirements-lock.txt"
"video_minimax_h3_i2v.json",".json","0.07","2026/9/7 9:17:46","F:\一人公司\comfyui-production\video_minimax_h3_i2v.json"
"video_minimax_h3_r2v.json",".json","0.04","2026/9/7 9:17:01","F:\一人公司\comfyui-production\video_minimax_h3_r2v.json"
"video_minimax_h3_t2v.json",".json","0.07","2026/9/7 9:18:10","F:\一人公司\comfyui-production\video_minimax_h3_t2v.json"
